Start Date,End Date,Return,Volatility,Drawdown,Max Profit,Sharpe Ratio
1995-01-30,1998-01-26,0.1629764686649944,,-0.7364416920754747,3.805084277401477,
1996-01-29,1999-01-26,0.3381515371780985,,-0.5669469081931409,6.593359906329161,
1997-01-27,2000-01-25,0.4599984402954194,,-0.5567472998836477,5.751858800870832,
1998-01-27,2001-01-24,0.2700859702908175,,-0.8058083085294455,1.1437869294220988,
1999-01-27,2002-01-30,0.11528036543204703,,-0.8058083085294455,0.2007483309637763,
2000-01-26,2003-01-30,-0.10866560237038397,,-0.8114950034550723,-0.514565648972819,
2001-01-25,2004-01-30,0.06635149999960516,,-0.5065805456390329,0.13153526378024494,
2002-01-31,2005-01-31,1.3031533231449302,0.39261800012701115,-0.49751001906556813,2.1108375693183006,3.293667948811816
2003-01-31,2006-01-31,0.9922793765763428,0.3061766124668753,-0.2426490286261085,9.516697629535656,3.208211654907554
2004-02-02,2007-02-01,0.7304799122312382,0.2978774521352055,-0.407991820028042,6.5931977189813615,2.418712484166861
2005-02-01,2008-02-01,0.4295708502723369,0.2891607144998808,-0.407991820028042,2.450276867950197,1.4509953435341572
2006-02-01,2009-02-02,0.1715028299264669,0.4622471425338569,-0.6529475833030158,0.21333861064323711,0.3493863240369036
2007-02-02,2010-02-02,0.37975915209169614,0.4462415359177111,-0.6529475833030158,1.3110323573895841,0.828607653770449
2008-02-04,2011-02-01,0.405459391380866,0.40847338138090483,-0.5883342432032219,1.6208140350742202,0.9681399312825646
2009-02-03,2012-02-01,0.5710161456118363,0.282069392301249,-0.30423605611720617,3.9063247457612116,1.9889295362209072
2010-02-03,2013-02-04,0.3093724068208551,0.2830315596389536,-0.3706178315920262,1.2398640481427572,1.0577350709678686
2011-02-02,2014-02-04,0.20824778189724377,0.20397620905667427,-0.4379714496921747,0.8597387144078921,0.9719161995120771
2012-02-02,2015-02-04,0.22178308538139924,0.17274861657322246,-0.4379714496921747,0.9418601343298583,1.2259611080105601
2013-02-05,2016-02-04,0.2460700699611938,0.19292474611318106,-0.288934660034188,1.0559580256244092,1.2236381009551835
2014-02-05,2017-02-03,0.24182170327853553,0.19964200213444044,-0.3044379635818769,0.9276634840135438,1.1611870287817743
2015-02-05,2018-02-05,0.28013034790362323,0.19872145366357305,-0.3044379635818769,1.236747514297193,1.3593416459248653
2016-02-05,2019-02-06,0.28547349310386805,0.20819602805100423,-0.3851591216652632,1.2587714007918809,1.3231448057999553
2017-02-06,2020-02-06,0.38740807417609163,0.21127931840070635,-0.3851591216652632,2.0453156795195735,1.7862991845719145
2018-02-06,2021-02-05,0.4538620564863461,0.32761761590046323,-0.3851591216652632,2.492069377739394,1.3548174302727367
2019-02-07,2022-02-04,0.4985213362346562,0.31062541687199263,-0.3142725338964498,3.1606549336658913,1.5727023923350538
2020-02-07,2023-02-07,0.2942967621937194,0.36960717218954764,-0.4432005017810591,0.9683692476048593,0.7691862701406724
2021-02-08,2024-02-08,0.2255229156302126,0.27584642000767623,-0.4432005017810591,0.7537481954820744,0.7813148911782688
